document_name,pred_fitara
Amendment_3_-_HHS-NIH-NIAID-BAA2017-1.pdf,0.1799
Amendment_4_-_HHS-NIH-NIAID-BAA2017-1.pdf,0.2039
Amendment_No._10_-_2017090.pdf,0.1134
Amendment_No._2_-_NIAID-DMID-NIHAI2014004.pdf,0.1863
Amendment_No._6_-_2017090.pdf,0.0906
Amendment_to_Sources_Sought_NIAID(35).pdf,0.368
Application_&_Proj_Mgmt_Tool_-_Market_Research_-_Sources_Sought_-_NLM_-_Detailed_Tech_Requirements_(12-19-12).docx,0.6227
ATTACHMENT3-SOW.pdf,0.4318
Attachment_-_HHS-NIH-NIAID-BAA2017-1_-_Amendment_1.pdf,0.0847
Attachment_1_-_Website_links_for_attachments_in_Section_J.docx,0.4429
Attachment_2-_2F100_Resource_Layout-RFQRMLC1786478.pdf,0.5
Attachment_2_-_Technical_Proposal_Cost_Information.pdf,0.4744
attachment_4_SOW.doc,0.2773
Attachment_C_Wage_Determination_2015-2103.pdf,0.2178
BAA-NIAID-DAIT-NIHAI2015042_Attachment_5_Amended_2-4-16.pdf,0.3528
BAA-NIAID-DMID-NIH-AI-2015037.pdf,0.2433
Best_Practical_SOW_CR-RT-Programming-Services-1_08.doc,0.4785
Brandname_JOFOC.pdf,0.0999
CHART_1816540.docx,0.5
Clarifications.pdf,0.3
ComputerSTATEMENTOFWORK.pdf,0.5758
Dark_Fiber_Connectivity_-_FY_14_-_SOW_(04-07-14).docx,0.5502
DHHS-NIHAO2016038_-Final_RFP.pdf,0.627
downloader1_(2).pdf,0.3643
EC_SOW.doc,0.5311
evaluation.v1.pdf,0.3042
FINALRFP2011124Solicitation.pdf,0.1657
Final_Monitoring_RFP_NIAID_DAIDS_NIHAI2008045__w_attachments.docx,0.2115
Final_RFP(500).pdf,0.0983
Final_RFP_CROMS_NIHAI2015043.pdf,0.1226
Final_RFP_NIAID-DAIDS-NIHAI2014002.pdf,0.1894
FSR_T3U_RIM_SPEC_SHEET.pdf,0.4457
FSS_LSJ-EDie_CY17-HHSN27200002-REDACTED.pdf,0.5764
HHSAR_352.242-712.pdf,0.4323
HHSN272201600257U.pdf,0.1822
Hospital_Wayfinding_SOW_-_Appendix_A_120214.pdf,0.5312
IEDB_RFP_FBO.pdf,0.1091
Information_Technology_Services.docx,0.5046
J&A_seq01737172_Aperio_Scanner.docx,0.1665
JOFOC4.pdf,0.0354
JOFOC_Unusual_and_Compelling_Urgency.pdf,0.2707
Limited_Source.docx,0.0383
MIDBRR_RFP_4-3-15_(w_atts.).pdf,0.0574
NIAID-DMID-NIHAI2013176_RFP.pdf,0.1859
NIAID-DMID-NIHAI2014004.pdf,0.183
NIEHS_Enterprise_IT_Services_Support_RFI_Jan.21.2011.pdf,0.6824
"NIHAI2015035,_Amendment_No_1_with_attachments.pdf",0.0735
NIHAO2016046_Final_Revised.pdf,0.0382
NIHOD2013421_JOFOC.pdf,0.2081
OMAR_SOW_-_BPM_Tool_with_Appendix_A_(002).pdf,0.7732
presol_notice.pdf,0.1707
Provisions_&_Clauses-_Open_Text-RFQRMLC1827830.docx,0.0001
Purity_Parameters.docx,0.3637
P_52.212-5_Contract_T&C_Comm_Items_Jan_2017(3).docx,0.0
Q&A_for_Mapping2.pdf,0.3306
QA-Site_Visit-082516-FINAL.docx,0.4172
Questions_and_Answers.pdf,0.2481
REVISED_SOW-Bldg_33_1N09_Upgrade-RFQRMLC1805376-Updated-01Sep16.docx,0.9219
RFP(2).doc,0.0445
RFP-NIAID-DMID-NIHAI2009066_w_attachments.pdf,0.1081
RFP-NIAID-VRC-04-54.doc,0.0495
RFP-NIH-NIAID-DAIT-05-37.pdf,0.2383
RFP03-05.doc,0.0764
RFP03-45.doc,0.0806
RFP03-54.doc,0.0691
RFP05-07FINAL.pdf,0.2988
RFPDAIDS05-18-Final.pdf,0.3616
RFPNIHNIAIDDAIDS0833Fin.pdf,0.1105
RFPRevised.doc,0.0601
RFP_NIAID-DAIDS-NIHAI2012153.pdf,0.164
RFP_NIHAI2011444_FInal_5.21.12.pdf,0.181
RFP_NIHAO2009033.pdf,0.1571
RFP_NIHJT2010001.doc,0.0816
RFP_No._NIAID-DAIDS-NIHAI2015049_with_Attachments.pdf,0.5979
RFQ10132sow.doc,0.3967
RFQ103119_Statement_of_Work_and_Provisions_.docx,0.5677
S11-042_RFP_Document_-_12.17.10_-_FINAL.doc,0.5942
SADMES_SOW.docx,0.6896
SCS_OnDemand_Statement_of_Work_dated_03-13-12.docx,0.5581
Section_K.pdf,0.2156
SF1449_and_Provisions_RFQ130110A.docx,0.2249
Site_Visit_Attendees3.pdf,0.2275
Sole_source_JOFOC1.pdf,0.0408
Solicitation.pdf,0.0354
SolicitationS07-103JAT021908.doc,0.7551
SolicitationS07-132.doc,0.3929
SOW-1725390.docx,0.3197
SOW-liquidcompressedgases-RFQRMLC1817053.pdf,0.3027
SOW-NIAIDNOI12099.doc,0.4837
SOW-NIH_campus_AV_Upgrade-081016-RFQRML1802996.docx,0.9216
SOW11072012_0001.pdf,0.568
sow1692637.pdf,0.1734
SOW8.docx,0.2237
SOWNOI12025.doc,0.3445
SOW_-_African_Green.docx,0.3149
SOW_-_AMBIS_1621624.pdf,0.3774
SOW_-_AMBIS_1692072.docx,0.4784
SOW_1818025.docx,0.2135
SOW_1854830.pdf,0.2625
SOW_Biobasics_Protein_(3).doc,0.3806
SOW_NOI12067.docx,0.2789
SOW_REVISED-2F100_Resource-RFQRMLC1786478.docx,0.9324
Statement_of_Work717.pdf,0.2853
Statement_of_Work_and_Instructions.docx,0.7635
STORAGE_&_SERVER_CLOUD_20100708060201.pdf,0.6647
Subcontractplan_revised_110415.doc,0.1888
Terms_&_Conditions2.docx,0.0128
Total_Small_Supply_52.212-5_(Jan_2017)_with_HSAR_352.222-70_(Dec_2015).pdf,0.0
TTDRB_OA_Final_BAA.pdf,0.1481
Video-Teleconferencing-GPAT.doc,0.8164
Video-Teleconferencing-GPAT4.doc,0.8164
Video-Teleconferencing-GPAT6.doc,0.8164
Wage_Determination865.pdf,0.2194
(2)Info_Sec_Prog_Sup_-_FY_11_-_SOW_(03-15-11)_(2).doc,0.5101
1-_JOFOC_posting.docx,0.0801
1-_JOFOC_posting2.docx,0.0699
1789760_Statement_of_Work.pdf,0.3008
1851203_SOW.docx,0.2443
20140723_QVOA_NIHAI2013184_Amend_3_FINAL.pdf,0.0705
3Sole_Source_JOFOC.pdf,0.1252
4-_posted_JOFOC.doc,0.2734
52.203-928.pdf,0.0185
52.203-99_Prohibition_on_Contracting.docx,0.0138
52.212-4_Contract_T&C_JAN_2017(905).docx,0.2632
52.212-5_(Jan_2017)1.docx,0.0
52.212-5_(Jun_2016)_over_25k.docx,0.0
52.212-5_(Nov_2016).docx,0.0
52.212-5_(Nov_2016)_250.docx,0.0
52.212-5_Contract_Terms_and_condtionsl_Required_to_Implement_Statutes_or_Executive_orders.pdf,0.0034
Additional_Questions_to_NIHAO2016056.pdf,0.3865
Amendment_1_-_BAA-NIAID-DMID-NIH-AI-2014028.pdf,0.1634
Amendment_1_-_PHS2017-1.pdf,0.2315
Amendment_2_NIHAI2015040.pdf,0.105
Amendment_5_06.13.16.pdf,0.0892
Amendment_No._1_-_NIAID-DMID-NIHAI2014004.pdf,0.1497
Amendment_to_Sources_Sought_NIAID.pdf,0.3487
ATTACHMENTS_updated_via_Amendment_1.docx,0.2176
Attachment_3_-Wolff_Conference_Rm_3_25_16_AV_Conduit_Locations.pdf,0.4667
BAA-NIAID-DAIT-NIHAI2015042_Attachment_1_Amended_3-11-16.pdf,0.177
CBIIT_Tech_Consult_&_Sup_-_SOW_(04-24-12).doc,0.5578
Chem_RFP_2015_tm_edits_020216.pdf,0.4401
Clauses.docx,0.0
DL1754318-Mod_1_comb-9-10.pdf,0.532
DMID-08-05.pdf,0.2394
Draft_SOW_NLM_ARCHIBUS_CAFM_System_Renewal_61616.pdf,0.543
Elseveir_SOW.pdf,0.5065
FAR_52.212-53.pdf,0.0729
Final_RFP_12-11-08.docx,0.2604
HHS_LSJ_Zayo_Dark_Fiber_NOI-RML-C-1757138_REDACTED.pdf,0.6747
J&A_Brand_Name_Open_Text_RFQRMLC1827830-REDACTED.pdf,0.6163
J&A_redacted.pdf,0.2582
NIAID-DAIDS-NIHAI2016072_with_Attachments_1-7.pdf,0.0631
NIEHS_Enterprise_IT_Services_Support_RFI_Dec.30.pdf,0.6795
NIHAI2015055_-_Final_RFP.pdf,0.175
NIHAO2009029_-_Final_RFP.pdf,0.0109
Provisions_Clauses_RFQRMLC1791792.pdf,0.0
PWS_NVITAL_and_VPPL_Janitorial_Services.pdf,0.3656
Q&A.pdf,0.2526
QA_misc_090116.docx,0.4165
"Req_2369942,_Statement_of_Work.pdf",0.5339
"Revised_Final_Solicitation_March_9,_2017_(1).pdf",0.0431
REVISED_SOW-NIH_campus_AV_upgrade_-RFQRML14802996-090116.docx,0.9185
RFP-DAIDS-03-02.doc,0.0878
RFP03-37.doc,0.0913
RFP04-30Final.doc,0.0723
RFP05-28Final.pdf,0.2772
RFP0733FinalRFP.doc,0.2016
RFPNIHAO2011059-NVITALVPPL.pdf,0.0415
Service_and_Maintenance_SOW-1692610.doc,0.2912
Sharp_MX-3640N_20160818_081023.pdf,0.2444
Software-Application-GPAT_RMLRFQC1771060.doc,0.7934
Solicitation_1821920.pdf,0.0003
solsource3057534.docx,0.3587
Sources_Sought_-_Assessment_and_Development_of_Administratvie_Infrastructure_for_Foreign_Contracts.pdf,0.2657
SOW1.pdf,0.5083
sow200402171.pdf,0.578
SOW_11.17.16.docx,0.4333
SOW_1626589.docx,0.2464
SOW_181802550.docx,0.2102
SOW_2_March_2010_Final_(2).doc,0.4476
SOW_AMBIS_1635499.pdf,0.3962
SOW_Federated_Search_NIH-OLAO-20140311.doc,0.4646
SOW_FOR_NOI12029.docx,0.5553
SOW_for_Perspectives_in_Communication_2012.docx,0.3626
SOW_NIAIDRFQ12058_(2).doc,0.396
SOW_UT-SW_Medic_Ctr_-_AMBIS_1747372.doc,0.4317
Statement_of_Work_for_RFQ2611980.pdf,0.5609
Statement_of_Work_H5N1.doc,0.3184
Statement_of_Work__bedding_only.docx,0.2126
VLP_Evaluation_Criteria.docx,0.3611
